Comment,Designator,Footprint,LCSC Part #
0.5R,R1,R0603,
1k,R5 R6 R7 R11 R12,R0402,
2.2uH,L1,L6.6X7,C167218
5.1k,R2 R3 R4,R0402,
10uF,C2 C3 C4 C5 C6,C0603,
51k,R8 R10,R0402,
60k,R17,R0603,
75k,R9 R16,R0603,
90k,R15,R0603,
100n,C1,C0603,
180k,R14,R0603,
DSHP01TS-S,CELL,DSHP01TSS,C2884835
IP2326,IC1,QFN24-4X4,C5441281
JST-PH-2/90SMD,BATTERY OUTPUT,S2B-PH-SM4,C47647
USB-C_2-16PIN,J1,USBC_USB-C-16P-5,C2837092
LED_0402,BATT,LED_0402,C74338
LED_0402,STAT,LED_0402,C136118
RTRIM3296P,I_SET,RTRIM3296P,C780112
SS-12D11G5,OUTPUT_ON,SS-12D11G5,C692484
