Designator,Mid X,Mid Y,Layer,Rotation
BATT,14.73,29.09,Top,90.0
BATTERY,-10.16, 0.51,Top,180.0
C1,10.16,16.09,Top,90.0
C2, 8.15,20.51,Top,90.0
C3,10.19,20.51,Top,90.0
C4, 4.09,20.51,Top,90.0
C5, 6.12,20.51,Top,90.0
C6, 9.30,12.38,Top,270.0
IC1, 5.84,15.43,Top,0.0
J1, 8.39,23.81,Top,180.0
L1,15.75,16.37,Top,90.0
OUTPUT,10.16, 0.51,Top,180.0
R1,11.35,12.43,Top,270.0
R2,14.18,25.69,Top,90.0
R3, 2.60,25.72,Top,90.0
R4,12.95,11.09,Top,90.0
R5, 4.32,11.62,Top,90.0
R6, 5.36,11.62,Top,90.0
R7,-16.11,17.12,Top,270.0
R8, 1.40,14.01,Top,0.0
R9,-3.86,12.57,Top,180.0
R10,14.07,11.09,Top,270.0
R11, 2.69,11.62,Top,90.0
R12, 1.65,11.62,Top,90.0
R13, 1.40,15.05,Top,0.0
R14,-8.59,10.90,Top,0.0
R15,-3.86,14.66,Top,180.0
R16,-8.59,14.55,Top,0.0
R17,-3.86,16.74,Top,180.0
STAT, 2.07,29.12,Top,90.0
I_SET,28.83,6.99,Top,270.0
OUTPUT_ON,15.62,28.45,Top,180.0
